County,Radionuclide,Radionuclide Count
Nièvre,"131I, 111In, 18F, 123I, 201Tl, 99mTc",6
Nord,"111In, 18F,  125Sb, 54Mn, 201Tl, 99Tc, 186Re, 131I,  65Zn, 153Sm, 99mTc, 90Y,  110mAg,  134Cs, 67Ga, 51Cr,  58Co, 123I, 177Lu,  137Cs,  60Co",21
Paris,"111In, 18F,  232Th, 54Mn, 201Tl,  230Th, 131I, 169Er,  181W, 99mTc, 90Y,  234U,  57Co,  109Cd,  238U, 3H,  241Am,  226Ra, 68Ga,  58Co, 123I,  56Co, 60Co, 177Lu,  14C,  137Cs,  51Cr,  122Sb, 125I,  210Pb,  124Sb",31
Pas-de-Calais,"131I,  58Co, 111In, 18F, 99mTc, 123I,  56Co, 54Mn, 201Tl, 67Ga,  109Cd,  51Cr,  60Co, 153Sm",14
Puy-de-Dôme,"131I, 18F, 123I, 177Lu, 125I, 99mTc",6
Pyrénées-Atlantiques,"131I, 18F, 123I, 201Tl, 67Ga, 99mTc",6
Pyrénées-Orientales,"90Y, 111In, 18F, 123I, 201Tl, 99mTc",6
Rhône,"111In, 18F,  232Th,  63Ni, 201Tl,  153Gd, 137Cs,  U, 131I,  125I, 99mTc, 90Y,  234U,  235U,  109Cd,  238U, 3H,  226Ra, 123I, 60Co, 177Lu,  14C,  137Cs,  210Pb",24
Sarthe,"131I, 111In, 123I, 99Mo, 201Tl, 99mTc",6
Savoie,"131I, 111In, 18F, 99mTc, 123I, 153Sm",6
Saône-et-Loire,"131I, 111In, 123I, 201Tl, 67Ga, 99mTc",6
Seine-Maritime,"90Y, 131I,  58Co, 18F, 123I, 54Mn, 177Lu,  110mAg,  137Cs,  60Co,  65Zn, 99mTc",12
Seine-Saint-Denis,"111In, 18F, 123I, 201Tl, 125I, 99mTc",6
Somme,"131I, 111In, 18F, 123I, 99Mo, 201Tl, 67Ga, 125I, 99mTc",9
Tarn,"131I, 111In, 18F, 123I, 201Tl, 99mTc",6
Tarn-et-Garonne," 58Co, 54Mn,  110mAg,  137Cs,  60Co,  65Zn",6
Territoire de Belfort,"131I, 111In, 18F, 123I, 201Tl, 99mTc",6
Val-dOise," 183Re, 131I,  58Co, 111In, 18F, 123I,  56Co,  57Co, 67Ga,  51Cr, 3H, 99mTc",12
Val-de-Marne,"111In, 18F, 201Tl, 131I, 90Sr, 99mTc,  235U, 67Ga,  239Pu,  240Pu,  238U, 3H,  133Ba,  241Am,  226Ra, 123I, 177Lu,  137Cs,  60Co",19
Var,"90Y, 131I, 111In, 18F, 123I, 99mTc",6
Vaucluse," 154Eu,  90Y,  125Sb,  63Ni, 54Mn, 137Cs, 55Fe,  U,  55Fe,  242Pu, 90Sr,  Am,  65Zn,  106Ru,  Pu,  110mAg,  234U,  240Pu,  57Co,  239Pu,  134Cs, 3H,  241Am,  58Co,  238Pu,  56Co,  90Sr, 60Co,  129I,  95Zr,  244Cm,  241Pu,  137Cs,  60Co",34
Vendée,"90Y, 131I, 111In, 18F, 123I, 99mTc",6
Vienne,"90Y, 131I,  58Co, 111In, 123I, 54Mn, 177Lu,  110mAg,  137Cs,  60Co,  65Zn, 99mTc",12
Yonne,"131I, 111In, 18F, 123I, 201Tl, 99mTc",6
Yvelines,"111In, 18F,  232Th, 201Tl,  U,  Po, 131I,  Am, 99mTc,  Pu, 3H,  133Ba,  226Ra, 123I,  90Sr, 60Co,  14C,  137Cs,  Th",19
