County,Radionuclide
Rhône,"{'111In', '18F', ' 232Th', ' 63Ni', '201Tl', ' 153Gd', '137Cs', ' U', '131I', ' 125I', '99mTc', '90Y', ' 234U', ' 235U', ' 109Cd', ' 238U', '3H', ' 226Ra', '123I', '60Co', '177Lu', ' 14C', ' 137Cs', ' 210Pb'}"
Sarthe,"{'131I', '111In', '123I', '99Mo', '201Tl', '99mTc'}"
Savoie,"{'131I', '111In', '18F', '99mTc', '123I', '153Sm'}"
Saône-et-Loire,"{'131I', '111In', '123I', '201Tl', '67Ga', '99mTc'}"
Seine-Maritime,"{'90Y', '131I', ' 58Co', '18F', '123I', '54Mn', '177Lu', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn', '99mTc'}"
Seine-Saint-Denis,"{'111In', '18F', '123I', '201Tl', '125I', '99mTc'}"
Somme,"{'131I', '111In', '18F', '123I', '99Mo', '201Tl', '67Ga', '125I', '99mTc'}"
Tarn,"{'131I', '111In', '18F', '123I', '201Tl', '99mTc'}"
Tarn-et-Garonne,"{' 58Co', '54Mn', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn'}"
Territoire de Belfort,"{'131I', '111In', '18F', '123I', '201Tl', '99mTc'}"
Val-d'Oise,"{' 183Re', '131I', ' 58Co', '111In', '18F', '123I', ' 56Co', ' 57Co', '67Ga', ' 51Cr', '3H', '99mTc'}"
Val-de-Marne,"{'111In', '18F', '201Tl', '131I', '90Sr', '99mTc', ' 235U', '67Ga', ' 239Pu', ' 240Pu', ' 238U', '3H', ' 133Ba', ' 241Am', ' 226Ra', '123I', '177Lu', ' 137Cs', ' 60Co'}"
Var,"{'90Y', '131I', '111In', '18F', '123I', '99mTc'}"
Vaucluse,"{' 154Eu', ' 90Y', ' 125Sb', ' 63Ni', '54Mn', '137Cs', '55Fe', ' U', ' 55Fe', ' 242Pu', '90Sr', ' Am', ' 65Zn', ' 106Ru', ' Pu', ' 110mAg', ' 234U', ' 240Pu', ' 57Co', ' 239Pu', ' 134Cs', '3H', ' 241Am', ' 58Co', ' 238Pu', ' 56Co', ' 90Sr', '60Co', ' 129I', ' 95Zr', ' 244Cm', ' 241Pu', ' 137Cs', ' 60Co'}"
Vendée,"{'90Y', '131I', '111In', '18F', '123I', '99mTc'}"
Vienne,"{'90Y', '131I', ' 58Co', '111In', '123I', '54Mn', '177Lu', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn', '99mTc'}"
Yonne,"{'131I', '111In', '18F', '123I', '201Tl', '99mTc'}"
Yvelines,"{'111In', '18F', ' 232Th', '201Tl', ' U', ' Po', '131I', ' Am', '99mTc', ' Pu', '3H', ' 133Ba', ' 226Ra', '123I', ' 90Sr', '60Co', ' 14C', ' 137Cs', ' Th'}"
